id,name,lat,lon,verdict,reason
overture:Arcos da Lapa:-22.91285:-43.17978,Arcos da Lapa,-22.9128532409668,-43.179779052734375,KEEP,iconic Lapa Arches landmark
overture:Areia Branca / São Benedito:-22.93768:-43.68308,Areia Branca / São Benedito,-22.93767547607422,-43.683082580566406,REJECT,bare locality/neighborhood name
overture:Arena Camaragibe:-22.92631:-43.23405,Arena Camaragibe,-22.926307678222656,-43.23405075073242,REJECT,generic sports arena
overture:Argentão:-22.97880:-43.22690,Argentão,-22.978803634643555,-43.226898193359375,REJECT,unclear single word
overture:Ari-Leão:-22.85112:-43.24670,Ari-Leão,-22.851118087768555,-43.2467041015625,REJECT,street name only
overture:Armazem da Utopia:-22.89419:-43.19883,Armazem da Utopia,-22.894193649291992,-43.19882583618164,UNCERTAIN,possible cultural event venue
overture:Arnaldo Eugênio:-22.90994:-43.53205,Arnaldo Eugênio,-22.909942626953125,-43.53205490112305,REJECT,street/person name
"overture:Arroio Fundo (vattendrag i Brasilien, Rio de Janeiro):-22.97760:-43.34803","Arroio Fundo (vattendrag i Brasilien, Rio de Janeiro)",-22.97760009765625,-43.34803009033203,REJECT,Swedish Wikidata label artifact
overture:Arroio Tindiba:-22.93262:-43.36539,Arroio Tindiba,-22.9326229095459,-43.36539077758789,UNCERTAIN,"named stream, minor feature"
overture:Arvrão:-22.96528:-43.27637,Arvrão,-22.965280532836918,-43.27637100219727,REJECT,garbled/unclear text
overture:Associação de moradores Village Pavuna:-22.82144:-43.37910,Associação de moradores Village Pavuna,-22.821443557739254,-43.37910079956055,REJECT,residents association
overture:Associação dos moradores : Alto Bela Vista:-22.92980:-43.38776,Associação dos moradores : Alto Bela Vista,-22.929800033569336,-43.38775634765625,REJECT,residents association
overture:Asé Carmelita:-22.87307:-43.57642,Asé Carmelita,-22.87306785583496,-43.576419830322266,UNCERTAIN,possible Candomblé terreiro/religious site
overture:Atmosfera Condominium Park:-22.91465:-43.22023,Atmosfera Condominium Park,-22.914648056030277,-43.22023010253906,REJECT,condo branding
overture:Ausente arrumando a casa face aberto:-22.86169:-43.45425,Ausente arrumando a casa face aberto,-22.86168670654297,-43.45425415039063,REJECT,nonsensical text
"overture:Av Nossa Senhora De Copacabana, 99:-22.96463:-43.17523","Av Nossa Senhora De Copacabana, 99",-22.96463394165039,-43.17523193359375,REJECT,street address
overture:Av.Pastor Martin Luther King Jr n3.275 - Engenho da Rainha:-22.86831:-43.29691,Av.Pastor Martin Luther King Jr n3.275 - Engenho da Rainha,-22.86830711364746,-43.296905517578125,REJECT,street address
overture:Avant Garde:-22.93639:-43.33483,Avant Garde,-22.936391830444336,-43.3348274230957,REJECT,condo/building branding
overture:Avenida Atlantica:-22.96855:-43.17998,Avenida Atlantica,-22.96855354309082,-43.17997741699219,REJECT,street name only
overture:Avenida Brasil - Passarela 12:-22.83907:-43.29248,Avenida Brasil - Passarela 12,-22.839073181152344,-43.29248046875,REJECT,street/address
overture:Avenida Lineu Paula Machado 1006:-22.96630:-43.21845,Avenida Lineu Paula Machado 1006,-22.96629524230957,-43.218448638916016,REJECT,street address
overture:Avenida Lúcio Costa:-23.00847:-43.32721,Avenida Lúcio Costa,-23.008474349975582,-43.32720947265625,REJECT,street name only
overture:Avenida Maracanã:-22.92708:-43.23843,Avenida Maracanã,-22.927078247070312,-43.238426208496094,REJECT,street name only
overture:Avenida Mergulhao:-22.88220:-43.54956,Avenida Mergulhao,-22.882204055786133,-43.549560546875,REJECT,street name only
overture:Avenida Sete de Setembro:-22.90346:-43.10078,Avenida Sete de Setembro,-22.903461456298828,-43.10078048706055,REJECT,street name only
overture:Avenida das Américas:-23.00217:-43.42286,Avenida das Américas,-23.002174377441406,-43.4228630065918,REJECT,street name only
overture:Avenida epitacio pessoa 2180:-22.97870:-43.19918,Avenida epitacio pessoa 2180,-22.97869873046875,-43.19917678833008,REJECT,street address
overture:Avenida paranapuã:-22.79558:-43.18064,Avenida paranapuã,-22.79557609558105,-43.180641174316406,REJECT,street name only
overture:Avignon e Nimes:-22.89768:-43.29738,Avignon e Nimes,-22.897680282592773,-43.29737854003906,REJECT,condo building branding
overture:Azul Da Cor Do Mar:-23.01952:-43.46740,Azul Da Cor Do Mar,-23.01952171325684,-43.46739959716797,REJECT,business/restaurant name
overture:Azul do Mar:-22.88798:-43.36230,Azul do Mar,-22.88798141479492,-43.362300872802734,REJECT,business branding
overture:BXD CRUEL:-22.78489:-43.37901,BXD CRUEL,-22.784887313842773,-43.379005432128906,REJECT,"graffiti crew tag, nonsensical"
overture:Bairro Carioca:-22.89210:-43.24865,Bairro Carioca,-22.8920955657959,-43.248653411865234,REJECT,bare neighborhood name
overture:Bairro Carioca Triagem:-22.89464:-43.24667,Bairro Carioca Triagem,-22.89463806152344,-43.24666976928711,REJECT,bare neighborhood name
overture:Bairro Da Luz:-22.75885:-43.46981,Bairro Da Luz,-22.75885391235352,-43.46981048583984,REJECT,bare neighborhood name
overture:Bairro Higienópolis - RJ:-22.87757:-43.25908,Bairro Higienópolis - RJ,-22.87757110595703,-43.25907897949219,REJECT,bare neighborhood + RJ suffix
overture:Bairro Lins:-22.90967:-43.27128,Bairro Lins,-22.909671783447266,-43.27128219604492,REJECT,bare neighborhood name
overture:Bairro das Laranjeiras - RJ:-22.93112:-43.17852,Bairro das Laranjeiras - RJ,-22.931121826171875,-43.17851638793945,REJECT,bare neighborhood + RJ suffix
overture:Bairro de Inhaúma:-22.87746:-43.28556,Bairro de Inhaúma,-22.87745857238769,-43.28556442260742,REJECT,bare neighborhood name
overture:Bairro de Jacarépaguá:-22.93120:-43.35784,Bairro de Jacarépaguá,-22.931198120117188,-43.35783767700195,REJECT,bare neighborhood name
overture:Bairro de Realengo:-22.88084:-43.43750,Bairro de Realengo,-22.880836486816406,-43.4375,REJECT,bare neighborhood name
overture:Bairro de cascadura:-22.87867:-43.32253,Bairro de cascadura,-22.8786678314209,-43.32252883911133,REJECT,bare neighborhood name
overture:Baixada Fluminense:-22.75946:-43.44260,Baixada Fluminense,-22.75945854187012,-43.44259643554688,REJECT,generic large region name
overture:Balança Mas Não Cai:-22.90707:-43.19412,Balança Mas Não Cai,-22.907072067260746,-43.19411849975586,REJECT,bar/botequim business
overture:Bancários Barao 207:-22.90362:-43.34808,Bancários Barao 207,-22.90361595153809,-43.34808349609375,REJECT,address-like entry
overture:Bancários de Cavalcanti:-22.87385:-43.31065,Bancários de Cavalcanti,-22.87384986877441,-43.31065368652344,REJECT,street/neighborhood name
overture:Barata:-22.89474:-43.44096,Barata,-22.894737243652344,-43.44096374511719,REJECT,bare single common word
overture:Barra Acrópole:-22.97144:-43.39190,Barra Acrópole,-22.9714412689209,-43.391902923583984,REJECT,condo branding
overture:Barra Bali Apple:-23.00908:-43.43660,Barra Bali Apple,-23.00907516479492,-43.43660354614258,REJECT,condo branding
overture:Barra Da Tijuca Itanhangá:-22.97669:-43.32863,Barra Da Tijuca Itanhangá,-22.976694107055664,-43.32863235473633,REJECT,neighborhood combo name
overture:Barra Da Tijuca Posto Três:-22.94265:-43.33932,Barra Da Tijuca Posto Três,-22.942649841308597,-43.339317321777344,REJECT,gas station reference
overture:Barra Sol:-23.00517:-43.32592,Barra Sol,-23.005172729492188,-43.32592391967773,REJECT,condo branding
overture:Barra Verde:-22.96745:-43.39194,Barra Verde,-22.96745109558105,-43.391937255859375,REJECT,condo branding
overture:Barra Village House e Life:-23.00166:-43.43705,Barra Village House e Life,-23.001657485961918,-43.43705368041992,REJECT,condo branding
overture:Barra Village Lakes:-23.00760:-43.46260,Barra Village Lakes,-23.007598876953125,-43.46260070800781,REJECT,condo branding
overture:Barreira Do Vasco Complexo Da Pedreira:-22.82219:-43.35489,Barreira Do Vasco Complexo Da Pedreira,-22.82218742370605,-43.35489273071289,REJECT,favela/complex administrative name
overture:Bartcaverna:-22.90310:-43.24878,Bartcaverna,-22.90309715270996,-43.248783111572266,REJECT,bar business
overture:Base do Tk:-22.80474:-43.40622,Base do Tk,-22.80474281311035,-43.40622329711914,REJECT,informal/unclear location
overture:Bazar 4 de Dezembro:-22.88527:-43.36278,Bazar 4 de Dezembro,-22.885272979736328,-43.3627815246582,REJECT,shop business
overture:Beach condo Plus:-22.96439:-43.39782,Beach condo Plus,-22.96438980102539,-43.39782333374024,REJECT,condo branding
overture:Beco Do Constâncio:-22.95170:-43.68178,Beco Do Constâncio,-22.951696395874023,-43.68178176879883,REJECT,alley/street name only
overture:Beco da Pantera:-22.91522:-43.17690,Beco da Pantera,-22.91522026062012,-43.176902770996094,REJECT,alley/street name only
overture:Beco da bomba:-22.79555:-43.38026,Beco da bomba,-22.79555320739746,-43.38025665283203,REJECT,alley/street name only
overture:Beco do Juca Futebol Resenha:-22.84690:-43.35260,Beco do Juca Futebol Resenha,-22.846900939941406,-43.35260009765625,REJECT,informal social group
overture:Bela Vida Campo Grande:-22.89895:-43.57498,Bela Vida Campo Grande,-22.898948669433597,-43.574981689453125,REJECT,condo branding
overture:Bela Vista Nova Iguaçu:-22.75945:-43.48945,Bela Vista Nova Iguaçu,-22.75944709777832,-43.48945236206055,REJECT,condo/development branding
overture:Bella Carolina:-22.90575:-43.28622,Bella Carolina,-22.90575408935547,-43.286224365234375,REJECT,condo/building branding
overture:Belle Vie:-22.93595:-43.33205,Belle Vie,-22.93595314025879,-43.3320541381836,REJECT,condo branding
overture:Belle Ville Botafogo:-22.95828:-43.19428,Belle Ville Botafogo,-22.95827865600586,-43.194278717041016,REJECT,condo branding
overture:Bem vindo Fumacê:-22.86737:-43.42314,Bem vindo Fumacê,-22.86736869812012,-43.42314147949219,REJECT,nonsensical greeting text
overture:Bento Lisboa Catete:-22.92626:-43.17944,Bento Lisboa Catete,-22.92626190185547,-43.179443359375,REJECT,street name only
overture:Bento Ribeiro:-22.87188:-43.35723,Bento Ribeiro,-22.87188148498535,-43.35722732543945,REJECT,bare neighborhood name
overture:Big Brother Brasil:-22.95667:-43.40889,Big Brother Brasil,-22.956666946411133,-43.40888977050781,REJECT,"TV show reference, not a site"
overture:Blend Life and Business:-22.93299:-43.35287,Blend Life and Business,-22.932992935180664,-43.35286712646485,REJECT,business
overture:Bloco 1:-22.87475:-43.27363,Bloco 1,-22.87474822998047,-43.27362823486328,REJECT,generic building block label
overture:Bloco 23:-22.85067:-43.37960,Bloco 23,-22.85067367553711,-43.37960052490234,REJECT,generic building block label
overture:Bloco Cordão do Prata Preta:-22.88067:-43.23019,Bloco Cordão do Prata Preta,-22.88067054748535,-43.23018646240234,REJECT,"carnival street group, not a site"
overture:Bloco Perereca do Grajaú:-22.92197:-43.26283,Bloco Perereca do Grajaú,-22.921968460083008,-43.26282501220703,REJECT,"carnival street group, not a site"
overture:Bloco Seu Kuka:-22.92044:-43.25975,Bloco Seu Kuka,-22.92044258117676,-43.25975036621094,REJECT,"carnival street group, not a site"
overture:Bloco Vira-lata:-22.99867:-43.25945,Bloco Vira-lata,-22.99867248535156,-43.25944900512695,REJECT,"carnival street group, not a site"
overture:Blue Bali:-23.01000:-43.44012,Blue Bali,-23.0100040435791,-43.44012069702149,REJECT,condo branding
overture:Blue Bay:-22.88568:-43.12318,Blue Bay,-22.88567543029785,-43.12317657470703,REJECT,condo branding
overture:Bolt House:-22.94817:-43.18263,Bolt House,-22.94816780090332,-43.1826286315918,REJECT,co-living building branding
overture:Bon Vivaggi:-22.94314:-43.33670,Bon Vivaggi,-22.943140029907227,-43.33669662475586,REJECT,condo branding
overture:Bora Bora Hills Town:-22.93223:-43.33403,Bora Bora Hills Town,-22.932228088378903,-43.33403015136719,REJECT,condo branding
overture:Bora Bora Tijuca:-22.92711:-43.24022,Bora Bora Tijuca,-22.927114486694336,-43.2402229309082,REJECT,condo branding
overture:Bosque Dos Esquilos:-22.96207:-43.33475,Bosque Dos Esquilos,-22.962066650390625,-43.334747314453125,UNCERTAIN,"possible park/grove, unverified"
overture:Bosque da Boiúna:-22.91417:-43.39582,Bosque da Boiúna,-22.914167404174805,-43.39582061767578,UNCERTAIN,"possible park/grove, unverified"
overture:Bosque dos Bandeirantes:-23.00510:-43.50887,Bosque dos Bandeirantes,-23.005096435546875,-43.50886535644531,UNCERTAIN,"possible park/grove, unverified"
overture:Bosque dos Buritis:-22.93735:-43.24649,Bosque dos Buritis,-22.937353134155277,-43.24648666381836,UNCERTAIN,"possible park/grove, unverified"
overture:Botequim da Cidade do Samba:-22.89492:-43.19672,Botequim da Cidade do Samba,-22.894920349121094,-43.19671630859375,REJECT,bar/business
overture:Bougainville Blanc and Rouge:-22.90629:-43.10111,Bougainville Blanc and Rouge,-22.90629005432129,-43.101112365722656,REJECT,condo branding
overture:Boulevard Carioca:-22.90825:-43.58162,Boulevard Carioca,-22.90825080871582,-43.58162307739258,REJECT,shopping/street branding
overture:Brisa Leblon Mozak:-22.98693:-43.22971,Brisa Leblon Mozak,-22.986927032470703,-43.22970581054688,REJECT,condo branding
overture:Brito Corretagem:-23.01021:-43.44859,Brito Corretagem,-23.01020622253418,-43.44859313964844,REJECT,real-estate brokerage business
overture:Bronze drika:-22.80947:-43.32471,Bronze drika,-22.809473037719727,-43.32471084594727,REJECT,tanning salon business
overture:Brow:-22.93566:-43.17707,Brow,-22.93565559387207,-43.17707443237305,REJECT,"bare single word, salon business"
overture:Buenos Aires Corporate:-22.90200:-43.17673,Buenos Aires Corporate,-22.902000427246094,-43.17672729492188,REJECT,office building branding
overture:Buraco do Lume:-22.90612:-43.17620,Buraco do Lume,-22.906118392944336,-43.17620468139648,KEEP,known waterfall/cave site near Alto da Boa Vista
overture:C.P.D.L:-22.90008:-43.28996,C.P.D.L,-22.900081634521484,-43.28995895385742,REJECT,unclear acronym
overture:CDD Vila Norma:-22.78295:-43.40521,CDD Vila Norma,-22.7829532623291,-43.40520858764648,REJECT,condo branding
overture:CMS Píndaro de Carvalho Rodrigues:-22.97968:-43.22952,CMS Píndaro de Carvalho Rodrigues,-22.979677200317383,-43.229522705078125,REJECT,municipal school
overture:CP Shope:-22.90650:-43.19415,CP Shope,-22.906497955322266,-43.19415283203125,REJECT,shop/business
overture:Cabuçu:-22.78982:-43.42101,Cabuçu,-22.78982353210449,-43.42101287841797,REJECT,bare place name
overture:Cachambi:-22.89279:-43.26698,Cachambi,-22.89278793334961,-43.26698303222656,REJECT,bare neighborhood name
"overture:Cachoeira Anil,rj:-22.88140:-43.43755","Cachoeira Anil,rj",-22.881404876708984,-43.43754959106445,KEEP,named waterfall (Cachoeira do Anil)
overture:Cachoeira Da Mazomba:-22.84525:-43.76049,Cachoeira Da Mazomba,-22.84524917602539,-43.7604866027832,KEEP,named waterfall
overture:Cachoeira Indiana Jones:-23.01663:-43.46807,Cachoeira Indiana Jones,-23.01663017272949,-43.46807098388672,UNCERTAIN,"locally nicknamed waterfall, name plausible but informal"
"overture:Cachoeira Véu de Noiva, Vila de Maringa, Itatiaia, RJ:-22.92786:-43.35540","Cachoeira Véu de Noiva, Vila de Maringa, Itatiaia, RJ",-22.92786026000977,-43.35539627075195,KEEP,named waterfall (Véu de Noiva)
overture:Cachoeira das Fadas-Minas Gerais:-22.95680:-43.17728,Cachoeira das Fadas-Minas Gerais,-22.956796646118164,-43.177276611328125,UNCERTAIN,named waterfall but location label mismatched
overture:Cacuia:-22.82195:-43.18390,Cacuia,-22.821945190429688,-43.183895111083984,REJECT,bare neighborhood name
overture:Calle Due:-22.90563:-43.10557,Calle Due,-22.90562629699707,-43.105567932128906,REJECT,condo/building branding
overture:Calle Uno:-22.90534:-43.10523,Calle Uno,-22.90534210205078,-43.105228424072266,REJECT,condo/building branding
overture:Calçadão Itaguaí:-22.87145:-43.77791,Calçadão Itaguaí,-22.8714542388916,-43.77791213989258,REJECT,generic boardwalk/street feature
overture:Caminho dos Pescadores:-22.96348:-43.16468,Caminho dos Pescadores,-22.963476181030277,-43.164676666259766,UNCERTAIN,possible named path/trail
overture:Caminhos da Barra:-22.95617:-43.34953,Caminhos da Barra,-22.95616912841797,-43.34952926635742,REJECT,shopping/mall branding
overture:Caminhos do Rio:-22.78439:-43.41300,Caminhos do Rio,-22.784385681152344,-43.41299819946289,REJECT,generic path name
overture:Campo 7 Praça Seca:-22.88963:-43.34403,Campo 7 Praça Seca,-22.88962745666504,-43.34402847290039,REJECT,sports field
overture:Campo de Sao Joao:-23.04862:-43.55834,Campo de Sao Joao,-23.04861640930176,-43.5583381652832,UNCERTAIN,unclear whether field or historic site
overture:Campão Irajá:-22.82538:-43.32785,Campão Irajá,-22.82538414001465,-43.32784652709961,REJECT,sports field
overture:Campão da Rio Grande:-22.91758:-43.40343,Campão da Rio Grande,-22.91758346557617,-43.4034309387207,REJECT,sports field
overture:Canal Cação Vermelho:-22.90222:-43.69191,Canal Cação Vermelho,-22.902223587036133,-43.69191360473633,UNCERTAIN,"named canal, minor feature"
overture:Canal Faria-Timbó:-22.87880:-43.25071,Canal Faria-Timbó,-22.878803253173828,-43.25071334838867,UNCERTAIN,"named canal, minor feature"
overture:Canal Gruçai:-22.83657:-43.27370,Canal Gruçai,-22.836570739746094,-43.27370071411133,UNCERTAIN,"named canal, minor feature"
overture:Canal Marapendi:-23.00000:-43.31667,Canal Marapendi,-23.0,-43.316673278808594,KEEP,named canal tied to Marapendi ecological reserve
overture:Canal São Fernando:-22.92872:-43.77055,Canal São Fernando,-22.928720474243164,-43.77055358886719,REJECT,"minor drainage canal, infrastructure not landmark"
overture:Canal da Ceasa:-22.83863:-43.33675,Canal da Ceasa,-22.83863067626953,-43.33675003051758,REJECT,"minor drainage canal near market, infrastructure"
overture:Canal da Visconde de Albuquerque:-22.97900:-43.22766,Canal da Visconde de Albuquerque,-22.97900009155273,-43.2276611328125,REJECT,"drainage canal named after street, infrastructure"
overture:Canal das Taxas:-23.02071:-43.49185,Canal das Taxas,-23.02071189880371,-43.49185180664063,REJECT,"minor drainage canal, infrastructure"
overture:Canal de Santo Agostinho:-22.91079:-43.78764,Canal de Santo Agostinho,-22.91079330444336,-43.78764343261719,REJECT,"minor drainage canal, infrastructure"
overture:Canal de Sarapuí:-22.82750:-43.45278,Canal de Sarapuí,-22.827503204345703,-43.452781677246094,UNCERTAIN,named after real river but likely just a drainage channel
overture:Canal de Sernambetiba:-23.03556:-43.49334,Canal de Sernambetiba,-23.03556060791016,-43.49333572387695,REJECT,"drainage canal along avenue, infrastructure"
overture:Canal do Bacalhau:-23.05771:-43.56327,Canal do Bacalhau,-23.057710647583008,-43.563270568847656,REJECT,"minor drainage canal, infrastructure"
overture:Canal do Cascalho:-23.00323:-43.49403,Canal do Cascalho,-23.003232955932617,-43.49403381347656,REJECT,"minor drainage canal, infrastructure"
overture:Canal do Guandu:-22.86667:-43.68333,Canal do Guandu,-22.866670608520508,-43.68333053588867,KEEP,"major river and Rio's main water source, notable geographic feature"
overture:Canal do Mangue:-22.89732:-43.21064,Canal do Mangue,-22.89732360839844,-43.21064376831055,KEEP,"historic canal from early 20th-century urban reform, notable"
overture:Cantinho de Paz!:-22.91100:-43.39818,Cantinho de Paz!,-22.91100311279297,-43.3981819152832,REJECT,personal/generic nickname
overture:Canto do Recreio - RJ:-23.01230:-43.38496,Canto do Recreio - RJ,-23.012300491333008,-43.38496017456055,REJECT,bare address-style entry with RJ suffix
overture:Capela de Santa Bárbara:-22.93829:-43.13165,Capela de Santa Bárbara,-22.93828582763672,-43.131649017333984,KEEP,"genuine chapel, religious historical site"
overture:Cardeal Musa Apart:-22.91692:-43.18883,Cardeal Musa Apart,-22.91692352294922,-43.18882751464844,REJECT,apartment building branding
overture:Carolina:-22.74930:-43.43375,Carolina,-22.749298095703125,-43.43374633789063,REJECT,"bare personal name, no site"
overture:Casa:-22.98373:-43.20765,Casa,-22.983726501464844,-43.20764923095703,REJECT,bare generic word
overture:Casa De Festa Em Realengo:-22.87580:-43.44498,Casa De Festa Em Realengo,-22.87580299377441,-43.44497680664063,REJECT,party venue business
overture:Casa Golden Garden:-22.91794:-43.54963,Casa Golden Garden,-22.91793632507324,-43.54962539672852,REJECT,residential/condo branding
overture:Casa Meu Amor:-22.89944:-43.12262,Casa Meu Amor,-22.899444580078125,-43.12261962890625,REJECT,personal home nickname
overture:Casa Parc des Palmier:-23.00355:-43.43987,Casa Parc des Palmier,-23.00354766845703,-43.43986892700195,REJECT,residential branding
overture:Casa Própria Laiane Zidório:-22.90431:-43.56576,Casa Própria Laiane Zidório,-22.904312133789062,-43.56575775146485,REJECT,personal real-estate listing name
overture:Casa Rio:-22.88026:-43.44236,Casa Rio,-22.880260467529297,-43.44235610961914,REJECT,generic business/home name
overture:Casa da Camila:-22.97545:-43.18835,Casa da Camila,-22.975446701049805,-43.18834686279297,REJECT,personal home nickname
overture:Casa da Colina:-22.92055:-43.18211,Casa da Colina,-22.92055320739746,-43.182106018066406,REJECT,personal/generic home nickname
overture:Casa da Dani:-22.99583:-43.23892,Casa da Dani,-22.995826721191406,-43.23892211914063,REJECT,personal home nickname
overture:Casa da Montanha:-22.76343:-43.47007,Casa da Montanha,-22.763429641723636,-43.47006988525391,REJECT,personal home nickname
overture:Casa da Neusa- São Pedro da Aldeia:-22.81917:-43.26958,Casa da Neusa- São Pedro da Aldeia,-22.819171905517575,-43.26957702636719,REJECT,personal home nickname
overture:Casa da Palma:-22.94445:-43.20432,Casa da Palma,-22.94445037841797,-43.20431518554688,REJECT,personal/generic home nickname
