id,name,lat,lon,scope
overture:Cruzada de são Sebastião:-22.98184:-43.21619,Cruzada de são Sebastião,-22.981840133666992,-43.216190338134766,CULTURAL
overture:Cruzeiro do Sul (Mesquita):-22.77855:-43.42863,Cruzeiro do Sul (Mesquita),-22.778553009033203,-43.42862701416016,CULTURAL
overture:D&A Areia de Quartzo:-22.91368:-43.54753,D&A Areia de Quartzo,-22.913684844970703,-43.54753112792969,NOISE
overture:Da Prata:-22.76113:-43.41917,Da Prata,-22.761125564575195,-43.419166564941406,NOISE
overture:Deck Aterro Flamengo:-22.93574:-43.17002,Deck Aterro Flamengo,-22.935739517211918,-43.17002487182617,CULTURAL
overture:Elevato Bonsucesso:-22.86728:-43.27173,Elevato Bonsucesso,-22.86727523803711,-43.271732330322266,NOISE
overture:Engenho Da Rainha:-22.87232:-43.29607,Engenho Da Rainha,-22.8723201751709,-43.29606628417969,CULTURAL
overture:Escada de Acesso ao Morro da Conceicao:-22.89747:-43.18117,Escada de Acesso ao Morro da Conceicao,-22.897470474243164,-43.18117141723633,CULTURAL
overture:Escadaria da Marechal Mascarenhas de Morais:-22.96413:-43.18336,Escadaria da Marechal Mascarenhas de Morais,-22.964126586914062,-43.1833610534668,CULTURAL
overture:Espaço São Clemente:-22.94971:-43.18829,Espaço São Clemente,-22.94971466064453,-43.18829345703125,CULTURAL
overture:Espigao do Méier:-22.90310:-43.28281,Espigao do Méier,-22.90310478210449,-43.28281021118164,NOISE
overture:Esqueleto Hotel Panorama:-22.85466:-43.39014,Esqueleto Hotel Panorama,-22.854660034179688,-43.39013671875,NOISE
overture:Estação Flamengo:-22.93409:-43.17604,Estação Flamengo,-22.9340934753418,-43.17604064941406,NOISE
overture:Estação Jardim de Alah:-22.99250:-43.25499,Estação Jardim de Alah,-22.99250030517578,-43.2549934387207,NOISE
overture:Estação Teleférica:-22.86741:-43.25516,Estação Teleférica,-22.867412567138672,-43.255157470703125,NOISE
overture:Euzébio Flamengo:-22.93734:-43.17529,Euzébio Flamengo,-22.937339782714844,-43.175289154052734,NOISE
overture:Ex-Combatentes:-22.88534:-43.25185,Ex-Combatentes,-22.88534164428711,-43.25185012817383,NOISE
overture:Favela da Barão:-22.89976:-43.35134,Favela da Barão,-22.899763107299805,-43.351341247558594,NOISE
overture:Fazenda Atlântica:-22.89548:-43.57759,Fazenda Atlântica,-22.895477294921875,-43.57758712768555,NOISE
overture:Fazenda Imperial de Santa Cruz:-22.91000:-43.68531,Fazenda Imperial de Santa Cruz,-22.91000366210937,-43.685306549072266,CULTURAL
overture:Fonte Wallace:-22.96992:-43.22438,Fonte Wallace,-22.969919204711918,-43.22438049316406,CULTURAL
overture:Fort Copacabana:-22.98618:-43.18653,Fort Copacabana,-22.986177444458008,-43.1865348815918,CULTURAL
"overture:Fortaleza De Sao João, Urca:-22.83379:-43.31466","Fortaleza De Sao João, Urca",-22.83379173278809,-43.31465911865234,CULTURAL
overture:Forte de Boa Viagem:-22.90933:-43.13053,Forte de Boa Viagem,-22.909330368041992,-43.13053131103516,CULTURAL
overture:Furnas da Tijuca:-22.97455:-43.28665,Furnas da Tijuca,-22.974552154541016,-43.28664779663086,NATURAL
overture:Gabinete Real:-22.90527:-43.17251,Gabinete Real,-22.9052734375,-43.17251205444336,CULTURAL
overture:Galeão:-22.81166:-43.22783,Galeão,-22.81166076660156,-43.22782516479492,NOISE
overture:Garganta do Grumari:-23.04844:-43.54990,Garganta do Grumari,-23.04844093322754,-43.549896240234375,NATURAL
overture:General José de San Martín:-22.97543:-43.19789,General José de San Martín,-22.97542953491211,-43.19789123535156,CULTURAL
overture:Gragoatá Bay:-22.90107:-43.13302,Gragoatá Bay,-22.901065826416016,-43.13302230834961,NATURAL
overture:Gruta Karl Glasl:-22.96879:-43.22527,Gruta Karl Glasl,-22.968788146972656,-43.22527313232422,NATURAL
overture:Ibrahim Sued Statue:-22.96881:-43.18029,Ibrahim Sued Statue,-22.968812942504883,-43.1802864074707,CULTURAL
overture:Ilha Da Trindade:-22.86453:-43.30235,Ilha Da Trindade,-22.86453437805176,-43.302345275878906,NATURAL
"overture:Ilha Das Flores - São Gonçalo, RJ:-22.85003:-43.10205","Ilha Das Flores - São Gonçalo, RJ",-22.85003089904785,-43.102046966552734,NATURAL
overture:Ipanema Copa Posto 6:-22.98404:-43.19390,Ipanema Copa Posto 6,-22.98403549194336,-43.19390106201172,NATURAL
overture:Irmandade do Corte:-22.78434:-43.37456,Irmandade do Corte,-22.78434181213379,-43.37456130981445,NOISE
overture:Itabirito (Urubu):-22.88047:-43.30432,Itabirito (Urubu),-22.88047218322754,-43.304317474365234,NATURAL
overture:Itanhaga:-22.98646:-43.30999,Itanhaga,-22.986461639404297,-43.30999374389648,NOISE
overture:Itaperu:-22.92243:-43.19656,Itaperu,-22.922426223754883,-43.19655990600586,NOISE
overture:Jacare na Praça da Concórdia:-22.88461:-43.25657,Jacare na Praça da Concórdia,-22.884605407714844,-43.25656509399414,CULTURAL
overture:Jardim de Alah:-22.98355:-43.21624,Jardim de Alah,-22.98354721069336,-43.21623611450195,NATURAL
overture:Ladeira Dos Tabajaras:-22.96518:-43.18890,Ladeira Dos Tabajaras,-22.96517944335937,-43.18889999389648,CULTURAL
overture:Laje dos Balbinot:-22.93861:-43.33563,Laje dos Balbinot,-22.938608169555664,-43.33562850952149,NATURAL
overture:Lapa de Irajá:-22.81827:-43.33324,Lapa de Irajá,-22.818267822265625,-43.33324432373047,NATURAL
overture:Largo Alexandre Herculano:-22.90582:-43.18209,Largo Alexandre Herculano,-22.90581512451172,-43.18209457397461,CULTURAL
overture:Largo Do Remi:-22.92876:-43.39281,Largo Do Remi,-22.92876434326172,-43.3928108215332,CULTURAL
overture:Largo de Itararé:-22.85652:-43.26671,Largo de Itararé,-22.85651588439941,-43.26670837402344,CULTURAL
overture:Largo do Machado Station:-22.93090:-43.17831,Largo do Machado Station,-22.93090057373047,-43.17830657958984,CULTURAL
overture:Largo dos Palácios:-22.95124:-43.19397,Largo dos Palácios,-22.95124244689941,-43.193965911865234,CULTURAL
overture:Manoel Leitao:-22.91894:-43.21540,Manoel Leitao,-22.918943405151367,-43.21539688110352,NOISE
overture:Mansão Boa Vista:-22.96005:-43.27124,Mansão Boa Vista,-22.960054397583008,-43.27123641967773,CULTURAL
overture:Mansão de Pedra Guedes:-22.83639:-43.31983,Mansão de Pedra Guedes,-22.836389541625977,-43.31982803344727,CULTURAL
overture:Marquês de valença:-22.92118:-43.22574,Marquês de valença,-22.92117500305176,-43.22573852539063,NOISE
overture:Mazzetti:-22.86252:-43.30518,Mazzetti,-22.862520217895508,-43.30517578125,NOISE
overture:Mendanha:-22.85416:-43.53953,Mendanha,-22.854156494140625,-43.53953170776367,NATURAL
overture:Mesa do Imperado:-22.96851:-43.25685,Mesa do Imperado,-22.968505859375,-43.25685119628906,NATURAL
overture:Minha:-22.86238:-43.78281,Minha,-22.86237907409668,-43.782806396484375,NOISE
overture:Mirante Do Ttk:-22.92429:-43.18169,Mirante Do Ttk,-22.924293518066406,-43.18169021606445,NATURAL
overture:Mirante Jackson de Figueiredo:-23.00865:-43.28787,Mirante Jackson de Figueiredo,-23.00864791870117,-43.287872314453125,NATURAL
overture:Mirante Livingstone Rezende:-22.81879:-43.20559,Mirante Livingstone Rezende,-22.81879234313965,-43.2055892944336,NATURAL
overture:Mirante Sétimo Céu:-22.98915:-43.22905,Mirante Sétimo Céu,-22.989154815673828,-43.22904968261719,NATURAL
overture:Mirante da Imprensa:-22.96904:-43.22513,Mirante da Imprensa,-22.969038009643555,-43.225128173828125,NATURAL
overture:Mirante da Praia da Joatinga:-23.01493:-43.28840,Mirante da Praia da Joatinga,-23.014928817749023,-43.28839874267578,NATURAL
overture:Mirante da bt:-22.83556:-43.28728,Mirante da bt,-22.83555793762207,-43.28727722167969,NATURAL
overture:Mirante de Boa Viagem:-22.90583:-43.12501,Mirante de Boa Viagem,-22.905834197998047,-43.1250114440918,NATURAL
overture:Mirante do Caete:-22.98485:-43.27874,Mirante do Caete,-22.984851837158203,-43.27873611450195,NATURAL
overture:Mirante do Excelsior:-22.94243:-43.27275,Mirante do Excelsior,-22.942432403564453,-43.27275085449219,NATURAL
overture:Mirante do Leblon:-22.98967:-43.22740,Mirante do Leblon,-22.989673614501957,-43.22739791870117,NATURAL
overture:Mirante do Leme:-22.96257:-43.16579,Mirante do Leme,-22.962566375732425,-43.165794372558594,NATURAL
overture:Mirante do Morro da Cruz:-22.76779:-43.11370,Mirante do Morro da Cruz,-22.767791748046875,-43.11370086669922,NATURAL
overture:Mirante do Pavão:-22.97929:-43.19313,Mirante do Pavão,-22.979291915893555,-43.1931266784668,NATURAL
overture:Mirante do Pontal:-23.03419:-43.49143,Mirante do Pontal,-23.0341911315918,-43.491432189941406,NATURAL
overture:Mirante do Rato Molhado:-22.92379:-43.18671,Mirante do Rato Molhado,-22.92378807067871,-43.18670654296875,NATURAL
overture:Mirante do Rio Grande:-22.92023:-43.39856,Mirante do Rio Grande,-22.92023086547852,-43.398563385009766,NATURAL
overture:Mirante do Roncador:-23.03787:-43.49949,Mirante do Roncador,-23.03787422180176,-43.499488830566406,NATURAL
overture:Moinho Fluminense:-22.89627:-43.19144,Moinho Fluminense,-22.896270751953125,-43.191436767578125,CULTURAL
overture:Monte Horebe em Mesquita RJ:-22.84855:-43.32082,Monte Horebe em Mesquita RJ,-22.84854888916016,-43.3208236694336,CULTURAL
overture:Morro Do Embaixador:-22.77518:-43.33804,Morro Do Embaixador,-22.775184631347656,-43.338035583496094,NATURAL
overture:Morro Do Familia:-22.90691:-43.30569,Morro Do Familia,-22.906911849975582,-43.30569076538086,NATURAL
overture:Morro Do Joá - Rio De Janeiro:-22.96138:-43.20719,Morro Do Joá - Rio De Janeiro,-22.96138000488281,-43.20719146728516,NATURAL
overture:Morro Pau da Bandeira:-22.91416:-43.25778,Morro Pau da Bandeira,-22.914161682128903,-43.25778198242188,NATURAL
overture:Morro Santo Amaro:-22.92361:-43.18056,Morro Santo Amaro,-22.92361068725586,-43.18056488037109,NATURAL
overture:Morro da Boa Vista São Lourenço Niterói:-22.88695:-43.11089,Morro da Boa Vista São Lourenço Niterói,-22.886947631835938,-43.11088943481445,NATURAL
overture:Morro da Cachoeirinha:-22.91972:-43.27778,Morro da Cachoeirinha,-22.919723510742188,-43.27777862548828,NATURAL
overture:Morro da Eno:-22.82360:-43.31138,Morro da Eno,-22.823598861694336,-43.31137847900391,NATURAL
overture:Morro da Mangueira:-22.90389:-43.23695,Morro da Mangueira,-22.903892517089844,-43.23694610595703,NATURAL
overture:Morro da Quinta do Caju:-22.87437:-43.21205,Morro da Quinta do Caju,-22.874366760253903,-43.2120475769043,NATURAL
overture:Morro de São Lourenço:-22.88747:-43.11008,Morro de São Lourenço,-22.887466430664062,-43.11008071899414,NATURAL
overture:Morro do Inglês:-22.94223:-43.20334,Morro do Inglês,-22.942228317260746,-43.20333862304688,NATURAL
overture:Morro do Pica Pau:-22.98366:-43.31216,Morro do Pica Pau,-22.98366355895996,-43.31216049194336,NATURAL
overture:Morro do Pico:-22.93130:-43.12339,Morro do Pico,-22.931299209594727,-43.12339019775391,NATURAL
overture:Morro do Pontal de Sernambetiba:-23.03417:-43.47010,Morro do Pontal de Sernambetiba,-23.03417015075684,-43.470096588134766,NATURAL
overture:Morro do Vintém:-22.89834:-43.26640,Morro do Vintém,-22.898338317871094,-43.266395568847656,NATURAL
overture:Morro dos Caboclos:-22.95167:-43.51751,Morro dos Caboclos,-22.951669692993164,-43.51750946044922,NATURAL
overture:Murals in the Lapa district:-22.91511:-43.17903,Murals in the Lapa district,-22.915111541748047,-43.17902755737305,CULTURAL
overture:Murdock House:-22.89293:-43.56692,Murdock House,-22.89292907714844,-43.5669174194336,NOISE
overture:Murinho da Urca:-22.93523:-43.17519,Murinho da Urca,-22.93523406982422,-43.17519378662109,NATURAL
overture:Márcio Alto Aratanha:-22.91245:-43.56863,Márcio Alto Aratanha,-22.91245460510254,-43.56863021850586,NOISE
overture:NOVO CCHCS:-22.83728:-43.32843,NOVO CCHCS,-22.8372802734375,-43.328426361083984,NOISE
overture:Nau da Barra:-22.99765:-43.37819,Nau da Barra,-22.99764633178711,-43.37818908691406,CULTURAL
overture:Nau dos Descobrimentos:-22.90502:-43.16987,Nau dos Descobrimentos,-22.905017852783203,-43.16987228393555,CULTURAL
overture:Nova CCPL:-22.89126:-43.24746,Nova CCPL,-22.891263961791992,-43.24745941162109,NOISE
overture:O`Sullivan House:-22.87353:-43.41301,O`Sullivan House,-22.87352752685547,-43.41301345825195,NOISE
overture:Obelisco da Avenida Rio Branco:-22.91271:-43.17479,Obelisco da Avenida Rio Branco,-22.9127140045166,-43.1747932434082,CULTURAL
overture:PEDRA De Guaratba:-22.99120:-43.62716,PEDRA De Guaratba,-22.99120330810547,-43.62716293334961,NATURAL
overture:PNR1 ESAO:-22.86172:-43.39312,PNR1 ESAO,-22.861722946166992,-43.39311981201172,NOISE
overture:Painel Etnias:-22.89513:-43.18488,Painel Etnias,-22.895132064819336,-43.18487930297852,CULTURAL
overture:Palacete Princesa Isabel:-22.92320:-43.69316,Palacete Princesa Isabel,-22.92320442199707,-43.69315719604492,CULTURAL
"overture:Palmas, Ilha Grande:-22.97177:-43.19020","Palmas, Ilha Grande",-22.971773147583008,-43.1901969909668,NOISE
overture:Palmeira Imperial:-22.96955:-43.22469,Palmeira Imperial,-22.96954917907715,-43.22468566894531,NATURAL
overture:Palmeiras da Penha:-22.83789:-43.27642,Palmeiras da Penha,-22.83788681030273,-43.27642440795898,NATURAL
overture:Palácio Arariboia:-22.89449:-43.12125,Palácio Arariboia,-22.89448547363281,-43.12125396728516,CULTURAL
overture:Palácio Vigia:-22.90127:-43.17642,Palácio Vigia,-22.90126609802246,-43.17641830444336,CULTURAL
overture:Pan De Azucar:-22.95456:-43.16706,Pan De Azucar,-22.95456314086914,-43.16706085205078,NATURAL
overture:Parcão Tijuca:-22.93152:-43.24376,Parcão Tijuca,-22.93152236938477,-43.24375534057617,NATURAL
overture:Parque Anchieta:-22.83030:-43.41767,Parque Anchieta,-22.83029556274414,-43.41767120361328,CULTURAL
overture:Parque Bondinho:-22.95553:-43.16701,Parque Bondinho,-22.955530166625977,-43.16700744628906,NATURAL
overture:Parque Coqueiros:-22.97472:-43.49840,Parque Coqueiros,-22.97472381591797,-43.4984016418457,NATURAL
overture:Parque Natural Municipal do Gericinó:-22.81271:-43.41616,Parque Natural Municipal do Gericinó,-22.812705993652344,-43.41615676879883,NATURAL
overture:Parque Roma:-22.91414:-43.55687,Parque Roma,-22.914140701293945,-43.5568733215332,NATURAL
overture:Parque São Pedro:-22.86471:-43.46309,Parque São Pedro,-22.86471366882324,-43.46309280395508,NATURAL
overture:Parque das Ruínas:-22.91780:-43.18232,Parque das Ruínas,-22.917797088623047,-43.182315826416016,CULTURAL
overture:Parque dos Sonhos:-22.76287:-43.48895,Parque dos Sonhos,-22.76287078857422,-43.48894500732422,NATURAL
overture:Passarela Do 314:-22.99766:-43.23947,Passarela Do 314,-22.997663497924805,-43.23947143554688,NOISE
overture:Passarela GAGa:-22.96792:-43.17902,Passarela GAGa,-22.967920303344727,-43.17901992797852,NOISE
overture:Pau Grande:-22.83569:-43.28513,Pau Grande,-22.835691452026367,-43.28512573242188,NOISE
overture:Paço Real:-22.90393:-43.22131,Paço Real,-22.903932571411133,-43.22130584716797,CULTURAL
overture:Paço de São Cristóvão:-22.90572:-43.22689,Paço de São Cristóvão,-22.905723571777344,-43.22689437866211,CULTURAL
overture:Pedra Aguda:-22.98463:-43.27684,Pedra Aguda,-22.9846305847168,-43.27684020996094,NATURAL
overture:Pedra Negra:-22.95888:-43.41417,Pedra Negra,-22.958881378173828,-43.41416549682617,NATURAL
overture:Pedra da Babilônia:-22.91917:-43.22806,Pedra da Babilônia,-22.919166564941406,-43.228057861328125,NATURAL
overture:Pedra da Macumba:-23.03202:-43.48052,Pedra da Macumba,-23.032020568847656,-43.48051834106445,NATURAL
overture:Pedra da Onça:-22.78923:-43.16149,Pedra da Onça,-22.78923225402832,-43.16149139404297,NATURAL
overture:Pedra da Proa:-22.96410:-43.25652,Pedra da Proa,-22.964099884033203,-43.25651931762695,NATURAL
overture:Pedra da Tartaruga:-23.07331:-43.55126,Pedra da Tartaruga,-23.07331275939941,-43.5512580871582,NATURAL
overture:Pedra de Itapuca:-22.90514:-43.12016,Pedra de Itapuca,-22.90513801574707,-43.120155334472656,NATURAL
overture:Pedra de Itapuã:-23.03223:-43.48084,Pedra de Itapuã,-23.032230377197266,-43.48084259033203,NATURAL
overture:Pedra de São Francisco:-22.94250:-43.31861,Pedra de São Francisco,-22.942502975463867,-43.3186149597168,NATURAL
overture:Pedra do Índio:-22.90503:-43.11832,Pedra do Índio,-22.905027389526367,-43.11832427978516,NATURAL
overture:Pena Turquesa:-22.95144:-43.19173,Pena Turquesa,-22.95144271850586,-43.19172668457031,NOISE
overture:Penhasco 2 irmãos:-22.98867:-43.23173,Penhasco 2 irmãos,-22.98866844177246,-43.231727600097656,NATURAL
overture:Pereira pinto:-22.86435:-43.29929,Pereira pinto,-22.86435317993164,-43.29928588867188,NOISE
overture:Perrottão:-22.90023:-43.56181,Perrottão,-22.900230407714844,-43.56180953979492,NATURAL
overture:Pier da barra:-23.01310:-43.29637,Pier da barra,-23.01309967041016,-43.29637145996094,NOISE
overture:Polo Novo Rio Antigo:-22.90826:-43.18393,Polo Novo Rio Antigo,-22.90826416015625,-43.18393325805664,CULTURAL
overture:Pombal - Niterói:-22.87412:-43.10709,Pombal - Niterói,-22.874120712280277,-43.10708999633789,CULTURAL
overture:Pombal Da Prata:-22.76303:-43.41161,Pombal Da Prata,-22.76302719116211,-43.41161346435547,CULTURAL
overture:Pombal De Marechal Hermes:-22.86439:-43.36879,Pombal De Marechal Hermes,-22.864389419555664,-43.36879348754883,CULTURAL
overture:Pombal De Santa Eugênia:-22.75081:-43.45712,Pombal De Santa Eugênia,-22.750810623168945,-43.45711517333984,CULTURAL
overture:Pombal Vila Isabel:-22.91016:-43.24479,Pombal Vila Isabel,-22.910160064697266,-43.24478530883789,CULTURAL
overture:Pombal do ibc:-22.75030:-43.44413,Pombal do ibc,-22.750301361083984,-43.444129943847656,CULTURAL
overture:Ponta Zé Mundongo:-22.95000:-43.11668,Ponta Zé Mundongo,-22.950000762939453,-43.116676330566406,NATURAL
overture:Ponta da Joatinga:-23.01648:-43.29596,Ponta da Joatinga,-23.016475677490234,-43.29595947265625,NATURAL
overture:Ponta da Mãe Maria:-22.81667:-43.26667,Ponta da Mãe Maria,-22.816673278808597,-43.26667022705078,NATURAL
overture:Ponta de Irajá:-22.81667:-43.28334,Ponta de Irajá,-22.816673278808597,-43.2833366394043,NATURAL
overture:Ponta de Santa Cruz:-22.93779:-43.13525,Ponta de Santa Cruz,-22.93779182434082,-43.13524627685547,NATURAL
overture:Ponta de Tubiacanga:-22.78439:-43.22998,Ponta de Tubiacanga,-22.784393310546875,-43.22998046875,NATURAL
overture:Ponta do Catalão:-22.84859:-43.22184,Ponta do Catalão,-22.84859085083008,-43.22183609008789,NATURAL
overture:Ponta do Tiro:-22.81107:-43.17662,Ponta do Tiro,-22.81106948852539,-43.17662048339844,NATURAL
overture:Portao Historico da Fortaleza de Sao Joao:-22.94354:-43.15702,Portao Historico da Fortaleza de Sao Joao,-22.943544387817383,-43.157020568847656,CULTURAL
overture:Porto Maravilha:-22.89715:-43.20277,Porto Maravilha,-22.897151947021484,-43.2027702331543,CULTURAL
overture:Porto Olímpico:-22.85656:-43.38353,Porto Olímpico,-22.856557846069336,-43.3835334777832,CULTURAL
overture:Praca Espanha:-22.98361:-43.21342,Praca Espanha,-22.98360824584961,-43.21342468261719,CULTURAL
overture:Praca Luiz La Saigne:-22.92127:-43.23530,Praca Luiz La Saigne,-22.92126846313477,-43.23530197143555,CULTURAL
overture:Praia da Macumba:-23.03227:-43.48467,Praia da Macumba,-23.03227424621582,-43.48467254638672,NATURAL
overture:Praia do Recreio:-23.01556:-43.41251,Praia do Recreio,-23.015560150146484,-43.412506103515625,NATURAL
overture:Praça Antônio Amado:-22.84611:-43.36438,Praça Antônio Amado,-22.84611320495605,-43.364383697509766,CULTURAL
overture:Praça Barra Bonita - Recreio:-22.88624:-43.37001,Praça Barra Bonita - Recreio,-22.886240005493164,-43.3700065612793,CULTURAL
overture:Praça Chale:-22.96655:-43.41473,Praça Chale,-22.966550827026367,-43.41473007202149,CULTURAL
overture:Praça Compositor Ismael Silva:-22.91309:-43.20256,Praça Compositor Ismael Silva,-22.913087844848636,-43.20256423950195,CULTURAL
"overture:Praça Da Apoteose, Vila São Luiz:-22.77729:-43.29299","Praça Da Apoteose, Vila São Luiz",-22.77728843688965,-43.2929916381836,CULTURAL
overture:Praça Da Rodo:-22.89695:-43.36942,Praça Da Rodo,-22.89694595336914,-43.36941909790039,CULTURAL
overture:Praça Doutor Roberto Em Morro da Mibeira Catumbi:-22.91800:-43.20005,Praça Doutor Roberto Em Morro da Mibeira Catumbi,-22.91800117492676,-43.20005035400391,CULTURAL
overture:Praça Jardim Vista Alegre:-22.83109:-43.31381,Praça Jardim Vista Alegre,-22.831085205078125,-43.313812255859375,CULTURAL
overture:Praça Marechal Âncora:-23.00314:-43.39334,Praça Marechal Âncora,-23.003143310546875,-43.393341064453125,CULTURAL
